Date,Latitude,Longitude,Max_Temperature,Min_Temperature,Rainfall
2020-01-01,8.5,77.5,32.337498,24.009602,0.0
2020-01-01,8.5,78.5,31.743671,23.844347,0.0
2020-01-01,9.5,76.5,31.402376,22.791275,0.0
2020-01-01,9.5,77.5,30.923943,22.686659,0.0
2020-01-01,9.5,78.5,30.11696,21.944002,0.0
2020-01-01,9.5,79.5,30.757282,23.245989,0.0
2020-01-01,10.5,76.5,28.477583,19.587202,0.0
2020-01-01,10.5,77.5,28.440714,20.264143,0.3118678033351898
2020-01-01,10.5,78.5,30.909492,22.840916,0.0
2020-01-01,10.5,79.5,30.246702,23.640944,0.0
2020-01-01,11.5,76.5,27.63093,18.692526,0.0535916537046432
2020-01-01,11.5,77.5,28.430285,19.368326,0.8636503219604492
2020-01-01,11.5,78.5,30.28899,22.33272,0.0
2020-01-01,11.5,79.5,29.994057,23.637325,0.2647091448307037
2020-01-01,12.5,75.5,29.780987,19.351896,0.0
2020-01-01,12.5,76.5,25.986916,16.55701,0.1530121713876724
2020-01-01,12.5,77.5,27.866117,19.631205,0.8238943219184875
2020-01-01,12.5,78.5,28.102873,19.934446,0.0
2020-01-01,12.5,79.5,29.762154,22.284956,1.2177937030792236
2020-01-01,12.5,80.5,29.382334,22.708094,2.183926582336426
2020-01-01,13.5,75.5,30.406975,17.95076,0.0278852079063653
2020-01-01,13.5,76.5,28.53306,17.551579,0.1672775745391845
2020-01-01,13.5,77.5,27.315321,18.64625,0.0
2020-01-01,13.5,78.5,27.83713,19.403454,0.0
2020-01-01,13.5,79.5,28.53532,21.239347,1.9071712493896484
2020-01-01,13.5,80.5,29.329704,22.066217,9.407418251037598
2020-01-01,14.5,74.5,31.099838,18.33157,0.0
2020-01-01,14.5,75.5,30.476004,17.30029,0.0126042189076542
2020-01-01,14.5,76.5,29.403275,17.46265,0.012389033101499
2020-01-01,14.5,77.5,29.465252,19.202108,0.0
2020-01-01,14.5,78.5,28.877512,20.186642,0.0
2020-01-01,14.5,79.5,29.427296,21.468536,0.2862452268600464
2020-01-01,14.5,80.5,29.825272,21.912012,1.425813913345337
2020-01-01,15.5,74.5,31.509253,18.65815,0.0
2020-01-01,15.5,75.5,31.085457,17.838404,0.0
2020-01-01,15.5,76.5,30.606255,18.578913,0.0638759359717369
2020-01-01,15.5,77.5,30.82,19.567406,0.0251808557659387
2020-01-01,15.5,78.5,30.935255,20.445196,0.0
2020-01-01,15.5,79.5,30.733927,20.769108,0.0
2020-01-01,15.5,80.5,29.81715,20.508818,0.382064014673233
2020-01-01,16.5,73.5,31.786835,17.957758,0.0
2020-01-01,16.5,74.5,30.919315,16.848198,0.0
2020-01-01,16.5,75.5,30.441654,16.841042,0.0
2020-01-01,16.5,76.5,30.463194,18.816422,0.0
2020-01-01,16.5,77.5,30.06644,19.042685,0.0
