Date,Latitude,Longitude,Max_Temperature,Min_Temperature,Rainfall
2025-01-01,8.5,77.5,31.800163,22.810019,0.0
2025-01-01,8.5,78.5,31.097,23.404707,3.5204501152038574
2025-01-01,9.5,76.5,31.407803,21.584818,0.0
2025-01-01,9.5,77.5,30.495504,21.21361,1.0704963207244873
2025-01-01,9.5,78.5,29.18469,21.425499,5.062882423400879
2025-01-01,9.5,79.5,29.414871,22.425537,6.43627405166626
2025-01-01,10.5,76.5,29.239824,18.290049,0.0
2025-01-01,10.5,77.5,27.692867,17.236557,0.0103172669187188
2025-01-01,10.5,78.5,28.950888,20.11654,0.173589289188385
2025-01-01,10.5,79.5,29.553915,22.339361,1.467146635055542
2025-01-01,11.5,76.5,28.460457,16.502714,0.0
2025-01-01,11.5,77.5,27.32395,15.617114,0.0
2025-01-01,11.5,78.5,30.028908,20.331842,0.0
2025-01-01,11.5,79.5,29.840021,22.307745,0.3260630369186401
2025-01-01,12.5,75.5,30.739792,17.930992,0.0
2025-01-01,12.5,76.5,26.548243,14.21395,0.0
2025-01-01,12.5,77.5,27.816359,16.148079,0.0
2025-01-01,12.5,78.5,28.528814,18.339314,0.0
2025-01-01,12.5,79.5,29.282347,20.790886,0.0
2025-01-01,12.5,80.5,29.672876,22.021574,0.0
2025-01-01,13.5,75.5,30.464025,16.78297,0.0
2025-01-01,13.5,76.5,28.723316,15.742374,0.0
2025-01-01,13.5,77.5,28.070284,16.071505,0.0
2025-01-01,13.5,78.5,28.215948,17.509985,0.0
2025-01-01,13.5,79.5,28.932398,19.910334,0.0
2025-01-01,13.5,80.5,29.717474,21.577047,0.0
2025-01-01,14.5,74.5,31.76469,18.712584,0.0
2025-01-01,14.5,75.5,30.543926,16.450155,0.0
2025-01-01,14.5,76.5,29.504189,15.380863,0.0
2025-01-01,14.5,77.5,29.625368,16.833265,0.0
2025-01-01,14.5,78.5,29.675177,18.829872,0.0
2025-01-01,14.5,79.5,30.22757,20.714836,0.0
2025-01-01,14.5,80.5,30.565844,21.44704,0.0
2025-01-01,15.5,74.5,31.878073,19.160833,0.0
2025-01-01,15.5,75.5,31.017796,17.177559,0.0
2025-01-01,15.5,76.5,30.639795,17.28523,0.0
2025-01-01,15.5,77.5,30.910233,17.664991,0.0
2025-01-01,15.5,78.5,31.631392,19.271833,0.0
2025-01-01,15.5,79.5,31.217031,20.05269,0.0
2025-01-01,15.5,80.5,30.437113,20.645779,0.0
2025-01-01,16.5,73.5,32.15246,20.392097,0.0
2025-01-01,16.5,74.5,30.96907,18.27915,0.0
2025-01-01,16.5,75.5,30.463839,17.523893,0.0
2025-01-01,16.5,76.5,30.822424,17.508741,0.0
2025-01-01,16.5,77.5,30.883121,17.66802,0.0
2025-01-01,16.5,78.5,30.80155,18.464039,0.0
2025-01-01,16.5,79.5,31.133541,20.072163,0.0
2025-01-01,16.5,80.5,30.66752,21.1103,0.0
2025-01-01,16.5,81.5,30.139067,21.756304,0.0
2025-01-01,17.5,73.5,30.628122,18.42607,0.0
2025-01-01,17.5,74.5,30.672152,17.20124,0.0
2025-01-01,17.5,75.5,30.276527,16.988157,0.0
2025-01-01,17.5,76.5,30.444311,17.398827,0.0
2025-01-01,17.5,77.5,30.722471,17.811644,0.0
2025-01-01,17.5,78.5,30.427843,17.964422,0.0
2025-01-01,17.5,79.5,30.382545,19.310066,0.0
2025-01-01,17.5,80.5,29.682444,19.863321,0.0
2025-01-01,17.5,81.5,28.988733,20.355661,0.0
2025-01-01,17.5,82.5,28.400623,20.673433,0.0
2025-01-01,17.5,83.5,27.761782,18.460987,0.0
2025-01-01,18.5,73.5,30.601078,18.47197,0.0
2025-01-01,18.5,74.5,30.400103,16.695936,0.0
2025-01-01,18.5,75.5,30.2213,15.795055,0.0
2025-01-01,18.5,76.5,30.585218,16.947016,0.0
2025-01-01,18.5,77.5,30.155977,16.859556,0.0
2025-01-01,18.5,78.5,29.881275,16.784958,0.0
2025-01-01,18.5,79.5,29.624716,18.158741,0.0
2025-01-01,18.5,80.5,29.257744,18.504679,0.0
2025-01-01,18.5,81.5,28.42902,19.452019,0.0
2025-01-01,18.5,82.5,28.106052,18.614134,0.0
2025-01-01,18.5,83.5,27.578684,16.655941,0.0
2025-01-01,18.5,84.5,27.480503,16.384132,0.0
2025-01-01,19.5,73.5,31.044205,17.855684,0.0
2025-01-01,19.5,74.5,31.009882,15.504051,0.0
2025-01-01,19.5,75.5,29.927961,15.668222,0.0
2025-01-01,19.5,76.5,30.107544,16.289572,0.0
2025-01-01,19.5,77.5,29.636091,15.743893,0.0
2025-01-01,19.5,78.5,29.538013,15.694725,0.0
2025-01-01,19.5,79.5,29.522516,15.853885,0.0
2025-01-01,19.5,80.5,28.39955,16.514126,0.0
2025-01-01,19.5,81.5,28.341093,15.482294,0.0
2025-01-01,19.5,82.5,27.48966,14.572147,0.0
2025-01-01,19.5,83.5,27.853811,14.936691,0.0
2025-01-01,19.5,84.5,27.383453,14.396186,0.0
2025-01-01,19.5,85.5,26.695704,15.433601,0.0
2025-01-01,20.5,73.5,30.860144,17.009922,0.0
2025-01-01,20.5,74.5,29.302067,15.411873,0.0
2025-01-01,20.5,75.5,29.20667,15.555385,0.0
2025-01-01,20.5,76.5,28.602362,15.408823,0.0
2025-01-01,20.5,77.5,28.70784,14.988293,0.0
2025-01-01,20.5,78.5,28.475327,14.938747,0.0
2025-01-01,20.5,79.5,27.232666,14.169844,0.0
2025-01-01,20.5,80.5,27.33023,13.623556,0.0
2025-01-01,20.5,81.5,26.346333,11.776029,0.0
2025-01-01,20.5,82.5,27.618925,11.5486355,0.0
2025-01-01,20.5,83.5,27.27146,11.984677,0.0
2025-01-01,20.5,84.5,27.081587,13.360979,0.0
2025-01-01,20.5,85.5,26.222008,14.684183,0.0
2025-01-01,20.5,86.5,25.502954,15.709401,0.0
2025-01-01,21.5,70.5,29.52084,14.584452,0.0
2025-01-01,21.5,71.5,30.394573,14.635012,0.0
2025-01-01,21.5,72.5,29.845984,15.548621,0.0
2025-01-01,21.5,73.5,28.443819,14.886264,0.0
2025-01-01,21.5,74.5,27.969809,13.217236,0.0
2025-01-01,21.5,75.5,26.721233,13.312643,0.0
2025-01-01,21.5,76.5,26.761217,13.309211,0.0
2025-01-01,21.5,77.5,26.119389,12.693273,0.0
2025-01-01,21.5,78.5,24.844902,12.0924635,0.0
2025-01-01,21.5,79.5,25.408741,11.002135,0.0
2025-01-01,21.5,80.5,25.321692,11.612744,0.0
2025-01-01,21.5,81.5,25.840456,11.223347,0.0
2025-01-01,21.5,82.5,25.796612,10.995208,0.0
2025-01-01,21.5,83.5,26.561546,10.650132,0.0
2025-01-01,21.5,84.5,26.371384,11.107862,0.0
2025-01-01,21.5,85.5,25.90763,12.989559,0.0
2025-01-01,21.5,86.5,24.769735,13.644314,0.0
2025-01-01,21.5,87.5,23.179464,14.800542,0.0
2025-01-01,22.5,69.5,29.341398,13.822078,0.0
2025-01-01,22.5,70.5,29.432055,13.821403,0.0
2025-01-01,22.5,71.5,29.578146,14.022952,0.0
2025-01-01,22.5,72.5,29.637197,14.0107975,0.0
2025-01-01,22.5,73.5,27.508375,14.251868,0.0
2025-01-01,22.5,74.5,25.73589,12.430473,0.0
2025-01-01,22.5,75.5,24.309155,11.026605,0.0
2025-01-01,22.5,76.5,24.497374,10.327765,0.0
2025-01-01,22.5,77.5,22.61786,9.881075,0.0
2025-01-01,22.5,78.5,23.313057,10.022265,0.0
2025-01-01,22.5,79.5,22.774221,9.281474,0.0
2025-01-01,22.5,80.5,23.267035,8.850997,0.0
2025-01-01,22.5,81.5,24.378897,9.907351,0.0
2025-01-01,22.5,82.5,24.445892,9.764709,0.0
2025-01-01,22.5,83.5,24.205248,10.325709,0.0
2025-01-01,22.5,84.5,25.161306,10.259375,0.0
2025-01-01,22.5,85.5,24.46678,10.962118,0.0
2025-01-01,22.5,86.5,23.837976,12.71048,0.0
2025-01-01,22.5,87.5,21.960115,13.95838,0.0
2025-01-01,22.5,88.5,21.856096,13.731527,0.0
2025-01-01,23.5,69.5,29.128855,13.105567,0.0
2025-01-01,23.5,70.5,29.433119,13.115083,0.0
2025-01-01,23.5,71.5,28.417751,12.169605,0.0
2025-01-01,23.5,72.5,27.557598,10.8213005,0.0
2025-01-01,23.5,73.5,25.986671,11.17086,0.0
2025-01-01,23.5,74.5,23.689022,9.217863,0.0
2025-01-01,23.5,75.5,22.725409,9.254419,0.0
2025-01-01,23.5,76.5,21.757599,8.303877,0.0
2025-01-01,23.5,77.5,21.371962,8.357653,0.0
2025-01-01,23.5,78.5,21.132433,8.280905,0.0
2025-01-01,23.5,79.5,21.734976,7.9811993,0.0
2025-01-01,23.5,80.5,22.035053,7.528035,0.0
2025-01-01,23.5,81.5,21.111872,8.031968,0.0
2025-01-01,23.5,82.5,22.498806,8.932345,0.0
2025-01-01,23.5,83.5,22.904165,9.785879,0.0
2025-01-01,23.5,84.5,22.991135,10.0889635,0.0
2025-01-01,23.5,85.5,23.489048,10.280396,0.0
2025-01-01,23.5,86.5,23.03944,12.763462,0.0
2025-01-01,23.5,87.5,21.524769,13.149082,0.0
