Date,Latitude,Longitude,Min_Temperature
2024-01-01,17.5,78.5,17.153637
2024-01-01,17.5,79.5,18.499998
2024-01-01,17.5,80.5,19.141344
2024-01-01,17.5,81.5,19.665476
2024-01-01,17.5,82.5,19.839731
2024-01-01,17.5,83.5,17.67107
2024-01-01,17.5,84.5,
2024-01-01,17.5,85.5,
2024-01-01,17.5,86.5,
2024-01-01,17.5,87.5,
2024-01-01,17.5,88.5,
2024-01-01,17.5,89.5,
2024-01-01,17.5,90.5,
2024-01-01,17.5,91.5,
2024-01-01,17.5,92.5,
2024-01-01,17.5,93.5,
2024-01-01,17.5,94.5,
2024-01-01,17.5,95.5,
2024-01-01,17.5,96.5,
2024-01-01,17.5,97.5,
2024-01-01,18.5,67.5,
2024-01-01,18.5,68.5,
2024-01-01,18.5,69.5,
2024-01-01,18.5,70.5,
2024-01-01,18.5,71.5,
2024-01-01,18.5,72.5,19.003277
2024-01-01,18.5,73.5,17.563677
2024-01-01,18.5,74.5,15.333462
2024-01-01,18.5,75.5,14.1590805
2024-01-01,18.5,76.5,15.104306
2024-01-01,18.5,77.5,15.219776
2024-01-01,18.5,78.5,15.276164
2024-01-01,18.5,79.5,17.271648
2024-01-01,18.5,80.5,17.572565
2024-01-01,18.5,81.5,18.571512
2024-01-01,18.5,82.5,17.639643
2024-01-01,18.5,83.5,15.964417
2024-01-01,18.5,84.5,16.088694
2024-01-01,18.5,85.5,
2024-01-01,18.5,86.5,
2024-01-01,18.5,87.5,
2024-01-01,18.5,88.5,
2024-01-01,18.5,89.5,
2024-01-01,18.5,90.5,
2024-01-01,18.5,91.5,
2024-01-01,18.5,92.5,
2024-01-01,18.5,93.5,
2024-01-01,18.5,94.5,
2024-01-01,18.5,95.5,
2024-01-01,18.5,96.5,
2024-01-01,18.5,97.5,
2024-01-01,19.5,67.5,
2024-01-01,19.5,68.5,
2024-01-01,19.5,69.5,
2024-01-01,19.5,70.5,
2024-01-01,19.5,71.5,
2024-01-01,19.5,72.5,18.671303
2024-01-01,19.5,73.5,17.272345
2024-01-01,19.5,74.5,14.811835
2024-01-01,19.5,75.5,14.624258
2024-01-01,19.5,76.5,15.037172
2024-01-01,19.5,77.5,14.399868
2024-01-01,19.5,78.5,14.573587
2024-01-01,19.5,79.5,14.985079
2024-01-01,19.5,80.5,15.8847
2024-01-01,19.5,81.5,14.878013
2024-01-01,19.5,82.5,14.174492
2024-01-01,19.5,83.5,14.583034
2024-01-01,19.5,84.5,14.23921
2024-01-01,19.5,85.5,15.655261
2024-01-01,19.5,86.5,
2024-01-01,19.5,87.5,
2024-01-01,19.5,88.5,
2024-01-01,19.5,89.5,
2024-01-01,19.5,90.5,
2024-01-01,19.5,91.5,
2024-01-01,19.5,92.5,
2024-01-01,19.5,93.5,
2024-01-01,19.5,94.5,
2024-01-01,19.5,95.5,
2024-01-01,19.5,96.5,
2024-01-01,19.5,97.5,
2024-01-01,20.5,67.5,
2024-01-01,20.5,68.5,
2024-01-01,20.5,69.5,
2024-01-01,20.5,70.5,15.921632
2024-01-01,20.5,71.5,17.24987
2024-01-01,20.5,72.5,17.070076
2024-01-01,20.5,73.5,17.255337
2024-01-01,20.5,74.5,15.541918
2024-01-01,20.5,75.5,14.867032
2024-01-01,20.5,76.5,15.058764
2024-01-01,20.5,77.5,14.236053
2024-01-01,20.5,78.5,14.217916
2024-01-01,20.5,79.5,13.95512
2024-01-01,20.5,80.5,13.416105
2024-01-01,20.5,81.5,12.51895
2024-01-01,20.5,82.5,12.043961
2024-01-01,20.5,83.5,12.460434
2024-01-01,20.5,84.5,13.612754
2024-01-01,20.5,85.5,15.446148
2024-01-01,20.5,86.5,16.395376
2024-01-01,20.5,87.5,
2024-01-01,20.5,88.5,
2024-01-01,20.5,89.5,
2024-01-01,20.5,90.5,
2024-01-01,20.5,91.5,
2024-01-01,20.5,92.5,
2024-01-01,20.5,93.5,
2024-01-01,20.5,94.5,
2024-01-01,20.5,95.5,
2024-01-01,20.5,96.5,
2024-01-01,20.5,97.5,
2024-01-01,21.5,67.5,
2024-01-01,21.5,68.5,
2024-01-01,21.5,69.5,15.47282
2024-01-01,21.5,70.5,15.778728
2024-01-01,21.5,71.5,15.610063
2024-01-01,21.5,72.5,16.2374
2024-01-01,21.5,73.5,15.78648
2024-01-01,21.5,74.5,14.304204
2024-01-01,21.5,75.5,14.147363
2024-01-01,21.5,76.5,13.8382
2024-01-01,21.5,77.5,13.525726
2024-01-01,21.5,78.5,13.204333
2024-01-01,21.5,79.5,12.769931
2024-01-01,21.5,80.5,12.787536
2024-01-01,21.5,81.5,12.596985
2024-01-01,21.5,82.5,12.525019
2024-01-01,21.5,83.5,11.811163
2024-01-01,21.5,84.5,12.234553
2024-01-01,21.5,85.5,14.353429
2024-01-01,21.5,86.5,14.6688595
2024-01-01,21.5,87.5,15.454399
2024-01-01,21.5,88.5,15.534979
2024-01-01,21.5,89.5,
2024-01-01,21.5,90.5,
2024-01-01,21.5,91.5,
2024-01-01,21.5,92.5,
2024-01-01,21.5,93.5,
2024-01-01,21.5,94.5,
2024-01-01,21.5,95.5,
2024-01-01,21.5,96.5,
2024-01-01,21.5,97.5,
2024-01-01,22.5,67.5,
2024-01-01,22.5,68.5,
2024-01-01,22.5,69.5,15.116425
2024-01-01,22.5,70.5,15.111022
2024-01-01,22.5,71.5,15.222991
2024-01-01,22.5,72.5,15.724891
2024-01-01,22.5,73.5,15.792565
2024-01-01,22.5,74.5,13.985785
2024-01-01,22.5,75.5,12.642521
2024-01-01,22.5,76.5,11.965975
2024-01-01,22.5,77.5,11.726996
2024-01-01,22.5,78.5,11.803114
2024-01-01,22.5,79.5,11.436506
2024-01-01,22.5,80.5,10.773711
2024-01-01,22.5,81.5,11.95053
2024-01-01,22.5,82.5,11.937163
2024-01-01,22.5,83.5,12.081931
2024-01-01,22.5,84.5,12.060709
2024-01-01,22.5,85.5,12.680561
2024-01-01,22.5,86.5,13.630957
2024-01-01,22.5,87.5,14.835423
2024-01-01,22.5,88.5,14.424555
2024-01-01,22.5,89.5,
2024-01-01,22.5,90.5,
2024-01-01,22.5,91.5,
2024-01-01,22.5,92.5,10.610079
2024-01-01,22.5,93.5,
2024-01-01,22.5,94.5,
2024-01-01,22.5,95.5,
2024-01-01,22.5,96.5,
2024-01-01,22.5,97.5,
2024-01-01,23.5,67.5,
2024-01-01,23.5,68.5,14.6988
2024-01-01,23.5,69.5,14.182393
2024-01-01,23.5,70.5,14.253597
2024-01-01,23.5,71.5,13.537336
2024-01-01,23.5,72.5,12.460112
2024-01-01,23.5,73.5,13.196281
2024-01-01,23.5,74.5,11.565889
2024-01-01,23.5,75.5,11.843759
2024-01-01,23.5,76.5,11.082979
2024-01-01,23.5,77.5,11.239495
2024-01-01,23.5,78.5,11.14156
2024-01-01,23.5,79.5,10.51088
